tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,dt_start_date,dt_starting_time,dt_starttime
1075,2021-02-01 00:31:18.5150,2021-02-01 00:49:13.9950,3115,India St & Manhattan Ave,40.73232194,-73.9550858,3077,Stagg St & Union Ave,40.70877084,-73.95095259,49200,Subscriber,1992,1,2021-02-01,00:31:18.515000,2021-02-01 00:31:18.515
376,2021-02-01 00:31:30.2510,2021-02-01 00:37:47.1370,507,E 25 St & 2 Ave,40.73912601,-73.97973776,3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,36277,Customer,1969,0,2021-02-01,00:31:30.251000,2021-02-01 00:31:30.251
856,2021-02-01 00:31:34.6400,2021-02-01 00:45:51.2170,3115,India St & Manhattan Ave,40.73232194,-73.9550858,3094,Graham Ave & Withers St,40.7169811,-73.94485918,41737,Subscriber,1992,1,2021-02-01,00:31:34.640000,2021-02-01 00:31:34.640
1193,2021-02-01 00:32:43.8160,2021-02-01 00:52:37.4700,403,E 2 St & 2 Ave,40.72502876,-73.99069656,403,E 2 St & 2 Ave,40.72502876,-73.99069656,48422,Customer,2000,1,2021-02-01,00:32:43.816000,2021-02-01 00:32:43.816
94,2021-02-01 00:33:45.6220,2021-02-01 00:35:20.3000,462,W 22 St & 10 Ave,40.74691959,-74.00451887,509,9 Ave & W 22 St,40.7454973,-74.00197139,37062,Subscriber,1970,1,2021-02-01,00:33:45.622000,2021-02-01 00:33:45.622
1784,2021-02-01 00:36:53.9180,2021-02-01 01:06:38.6860,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,48600,Customer,1991,1,2021-02-01,00:36:53.918000,2021-02-01 00:36:53.918
1127,2021-02-01 00:38:58.2010,2021-02-01 00:57:46.0230,3080,S 4 St & Rodney St,40.709340000000005,-73.95608,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,44854,Subscriber,1998,1,2021-02-01,00:38:58.201000,2021-02-01 00:38:58.201
294,2021-02-01 00:40:07.1180,2021-02-01 00:45:01.4500,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,35000,Subscriber,1991,1,2021-02-01,00:40:07.118000,2021-02-01 00:40:07.118
907,2021-02-01 00:44:19.7170,2021-02-01 00:59:27.3260,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,4214,Spring St & Hudson St,40.725839967923754,-74.00765329599379,39864,Subscriber,1976,2,2021-02-01,00:44:19.717000,2021-02-01 00:44:19.717
503,2021-02-01 00:44:31.2130,2021-02-01 00:52:55.1610,3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,3744,1 Ave & E 5 St,40.725864,-73.986389,49476,Subscriber,1976,1,2021-02-01,00:44:31.213000,2021-02-01 00:44:31.213
276,2021-02-01 00:44:55.1700,2021-02-01 00:49:31.6990,3570,35 Ave & 37 St,40.7557327,-73.92366109999999,3566,Crescent St & 35 Ave,40.7596276,-73.93214549999999,49520,Subscriber,1998,1,2021-02-01,00:44:55.170000,2021-02-01 00:44:55.170
1310,2021-02-01 00:46:01.6380,2021-02-01 01:07:52.1760,3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,302,Avenue D & E 3 St,40.72082834,-73.97793172,36595,Subscriber,1999,1,2021-02-01,00:46:01.638000,2021-02-01 00:46:01.638
1425,2021-02-01 00:46:25.3460,2021-02-01 01:10:10.9170,4232,6 Ave & W 45 St,40.756951,-73.98263100000001,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,47863,Subscriber,1990,1,2021-02-01,00:46:25.346000,2021-02-01 00:46:25.346
515,2021-02-01 00:49:16.4410,2021-02-01 00:57:51.4940,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,4244,W 36 St & 7 Ave,40.752148999999996,-73.98953900000001,49375,Subscriber,1990,1,2021-02-01,00:49:16.441000,2021-02-01 00:49:16.441
571,2021-02-01 00:49:32.0680,2021-02-01 00:59:03.4350,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,48114,Subscriber,1973,1,2021-02-01,00:49:32.068000,2021-02-01 00:49:32.068
379,2021-02-01 00:57:15.5920,2021-02-01 01:03:35.3300,3744,1 Ave & E 5 St,40.725864,-73.986389,3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,49476,Subscriber,2000,1,2021-02-01,00:57:15.592000,2021-02-01 00:57:15.592
372,2021-02-01 00:57:30.3750,2021-02-01 01:03:43.3720,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,47986,Subscriber,1998,1,2021-02-01,00:57:30.375000,2021-02-01 00:57:30.375
720,2021-02-01 01:00:31.1890,2021-02-01 01:12:31.9690,3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,50015,Subscriber,2001,1,2021-02-01,01:00:31.189000,2021-02-01 01:00:31.189
654,2021-02-01 01:06:28.6980,2021-02-01 01:17:23.5770,3314,W 95 St & Broadway,40.7937704,-73.971888,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,45810,Subscriber,1989,1,2021-02-01,01:06:28.698000,2021-02-01 01:06:28.698
2551,2021-02-01 01:06:43.3710,2021-02-01 01:49:14.3720,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,44854,Subscriber,1998,1,2021-02-01,01:06:43.371000,2021-02-01 01:06:43.371
804,2021-02-01 01:09:12.2000,2021-02-01 01:22:36.6920,3995,5 Ave & E 135 St,40.812191,-73.937838,3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,36236,Subscriber,2001,1,2021-02-01,01:09:12.200000,2021-02-01 01:09:12.200
1339,2021-02-01 01:09:37.8220,2021-02-01 01:31:57.1810,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,46277,Subscriber,1973,1,2021-02-01,01:09:37.822000,2021-02-01 01:09:37.822
1064,2021-02-01 01:10:26.5780,2021-02-01 01:28:11.4320,3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,331,Pike St & Monroe St,40.71173107,-73.99193043,39358,Customer,1969,0,2021-02-01,01:10:26.578000,2021-02-01 01:10:26.578
1210,2021-02-01 01:11:13.9020,2021-02-01 01:31:24.7410,3395,Henry St & W 9 St,40.6763744,-74.00324957,3300,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,47613,Subscriber,1958,1,2021-02-01,01:11:13.902000,2021-02-01 01:11:13.902
918,2021-02-01 01:23:56.3590,2021-02-01 01:39:14.8970,4059,W 171 St & St. Nicholas Ave,40.842940999999996,-73.938631,3934,St Nicholas Ave & E 134 St,40.816234,-73.948222,37254,Customer,1989,1,2021-02-01,01:23:56.359000,2021-02-01 01:23:56.359
813,2021-02-01 01:29:37.5540,2021-02-01 01:43:10.7330,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,3799,6 Ave & W 34 St,40.74964,-73.98805,38084,Subscriber,1989,1,2021-02-01,01:29:37.554000,2021-02-01 01:29:37.554
670,2021-02-01 01:29:56.5540,2021-02-01 01:41:06.5950,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,212,W 16 St & The High Line,40.74334935,-74.00681753,44079,Subscriber,1976,2,2021-02-01,01:29:56.554000,2021-02-01 01:29:56.554
1035,2021-02-01 01:32:06.2250,2021-02-01 01:49:22.0860,297,E 15 St & 3 Ave,40.734232,-73.986923,346,Bank St & Hudson St,40.73652889,-74.00618026,44700,Subscriber,1975,1,2021-02-01,01:32:06.225000,2021-02-01 01:32:06.225
2790,2021-02-01 01:34:00.3800,2021-02-01 02:20:31.2110,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,4232,6 Ave & W 45 St,40.756951,-73.98263100000001,47863,Subscriber,1990,1,2021-02-01,01:34:00.380000,2021-02-01 01:34:00.380
479,2021-02-01 01:35:00.4910,2021-02-01 01:43:00.0870,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,47972,Subscriber,1969,0,2021-02-01,01:35:00.491000,2021-02-01 01:35:00.491
1410,2021-02-01 01:35:57.2450,2021-02-01 01:59:27.9910,454,E 51 St & 1 Ave,40.75455731,-73.96592976,4036,Motorgate,40.7639089,-73.9477213,48785,Customer,2002,1,2021-02-01,01:35:57.245000,2021-02-01 01:35:57.245
2836,2021-02-01 01:40:11.4260,2021-02-01 02:27:28.4060,3328,W 100 St & Manhattan Ave,40.795,-73.9645,533,Broadway & W 38 St,40.75299641,-73.98721619,44469,Customer,1956,1,2021-02-01,01:40:11.426000,2021-02-01 01:40:11.426
250,2021-02-01 01:42:13.3480,2021-02-01 01:46:23.9220,302,Avenue D & E 3 St,40.72082834,-73.97793172,394,E 9 St & Avenue C,40.72521311,-73.97768752,27849,Customer,1974,1,2021-02-01,01:42:13.348000,2021-02-01 01:42:13.348
227639,2021-02-01 01:44:35.5070,2021-02-03 16:58:35.0410,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,49779,Subscriber,1990,1,2021-02-01,01:44:35.507000,2021-02-01 01:44:35.507
570,2021-02-01 01:45:35.2200,2021-02-01 01:55:06.0540,285,Broadway & E 14 St,40.73454567,-73.99074142,326,E 11 St & 1 Ave,40.72953837,-73.98426726,49942,Subscriber,1989,0,2021-02-01,01:45:35.220000,2021-02-01 01:45:35.220
165,2021-02-01 01:45:38.1860,2021-02-01 01:48:23.3850,3967,W 146 St & Broadway,40.826969,-73.949738,3967,W 146 St & Broadway,40.826969,-73.949738,47355,Subscriber,1983,2,2021-02-01,01:45:38.186000,2021-02-01 01:45:38.186
993,2021-02-01 01:48:48.8330,2021-02-01 02:05:22.0880,3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,34772,Subscriber,1990,1,2021-02-01,01:48:48.833000,2021-02-01 01:48:48.833
72,2021-02-01 01:49:12.1420,2021-02-01 01:50:24.6370,3092,Berry St & N 8 St,40.7190095,-73.95852515,3092,Berry St & N 8 St,40.7190095,-73.95852515,27475,Subscriber,2001,1,2021-02-01,01:49:12.142000,2021-02-01 01:49:12.142
629,2021-02-01 01:50:23.8580,2021-02-01 02:00:53.2430,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747851,49474,Subscriber,1998,1,2021-02-01,01:50:23.858000,2021-02-01 01:50:23.858
2355,2021-02-01 01:55:55.7040,2021-02-01 02:35:10.7040,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3080,S 4 St & Rodney St,40.709340000000005,-73.95608,44854,Subscriber,1998,1,2021-02-01,01:55:55.704000,2021-02-01 01:55:55.704
5527,2021-02-01 01:57:27.4250,2021-02-01 03:29:34.9920,3755,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,3755,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,28003,Subscriber,1965,1,2021-02-01,01:57:27.425000,2021-02-01 01:57:27.425
835,2021-02-01 01:57:36.2110,2021-02-01 02:11:32.0220,3437,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,3331,Riverside Dr & W 104 St,40.8013434,-73.97114574390001,30317,Subscriber,2003,1,2021-02-01,01:57:36.211000,2021-02-01 01:57:36.211
783,2021-02-01 01:58:45.2450,2021-02-01 02:11:48.8060,3437,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,3331,Riverside Dr & W 104 St,40.8013434,-73.97114574390001,38631,Customer,1994,1,2021-02-01,01:58:45.245000,2021-02-01 01:58:45.245
399,2021-02-01 02:02:28.1020,2021-02-01 02:09:07.2940,361,Allen St & Hester St,40.71605866,-73.99190759,312,Allen St & Stanton St,40.722055,-73.989111,43305,Subscriber,1956,1,2021-02-01,02:02:28.102000,2021-02-01 02:02:28.102
945,2021-02-01 02:12:04.7950,2021-02-01 02:27:50.3530,4303,Steinway St & Broadway,40.759057954185856,-73.91897544264793,3513,21 St & Hoyt Ave S,40.774645,-73.92370600000001,38394,Subscriber,1997,1,2021-02-01,02:12:04.795000,2021-02-01 02:12:04.795
561,2021-02-01 02:13:29.2100,2021-02-01 02:22:50.5400,297,E 15 St & 3 Ave,40.734232,-73.986923,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,28339,Subscriber,1984,1,2021-02-01,02:13:29.210000,2021-02-01 02:13:29.210
271,2021-02-01 02:16:15.9350,2021-02-01 02:20:47.0010,4027,St. Nicholas Ave & W 155 St,40.830663,-73.941323,3973,St Nicholas Ave & W 150 St,40.827212,-73.942722,37879,Customer,1969,0,2021-02-01,02:16:15.935000,2021-02-01 02:16:15.935
1831,2021-02-01 02:22:33.8770,2021-02-01 02:53:05.5670,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,319,Fulton St & Broadway,40.711065999999995,-74.009447,49285,Customer,2000,1,2021-02-01,02:22:33.877000,2021-02-01 02:22:33.877
1551,2021-02-01 02:25:43.6840,2021-02-01 02:51:34.9380,4232,6 Ave & W 45 St,40.756951,-73.98263100000001,495,W 47 St & 10 Ave,40.76269882,-73.99301222,47863,Subscriber,1990,1,2021-02-01,02:25:43.684000,2021-02-01 02:25:43.684
418,2021-02-01 02:27:14.2440,2021-02-01 02:34:13.0450,531,Forsyth St & Broome St,40.71893904,-73.99266288,410,Suffolk St & Stanton St,40.72066442,-73.98517977,48372,Subscriber,1961,0,2021-02-01,02:27:14.244000,2021-02-01 02:27:14.244
2925,2021-02-01 02:30:45.6840,2021-02-01 03:19:31.5080,3824,Van Sinderen Ave & Truxton St,40.6786,-73.90369,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,48076,Subscriber,1974,1,2021-02-01,02:30:45.684000,2021-02-01 02:30:45.684
525,2021-02-01 02:32:04.9110,2021-02-01 02:40:50.2410,546,E 30 St & Park Ave S,40.74444921,-73.98303529,168,W 18 St & 6 Ave,40.73971301,-73.99456405,48486,Subscriber,1959,1,2021-02-01,02:32:04.911000,2021-02-01 02:32:04.911
533,2021-02-01 02:32:57.0250,2021-02-01 02:41:50.0480,3930,E 142 St & 3 Ave,40.812734999999996,-73.923697,3964,Brook Ave & E 148 St,40.814383,-73.915368,49201,Subscriber,2001,1,2021-02-01,02:32:57.025000,2021-02-01 02:32:57.025
1544,2021-02-01 02:37:28.6490,2021-02-01 03:03:13.1380,471,Grand St & Havemeyer St,40.71286844,-73.95698119,174,E 25 St & 1 Ave,40.7381765,-73.97738662,36847,Subscriber,1991,1,2021-02-01,02:37:28.649000,2021-02-01 02:37:28.649
567,2021-02-01 02:42:56.3940,2021-02-01 02:52:24.0140,4263,30 Ave & 41 St,40.763422,-73.914142,3598,Newton Rd & 44 St,40.7595701,-73.91426779999999,37471,Customer,1989,1,2021-02-01,02:42:56.394000,2021-02-01 02:42:56.394
899,2021-02-01 02:53:28.9070,2021-02-01 03:08:28.6640,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,3837,Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999,49867,Customer,1988,1,2021-02-01,02:53:28.907000,2021-02-01 02:53:28.907
182,2021-02-01 02:58:03.7720,2021-02-01 03:01:06.7580,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,3141,1 Ave & E 68 St,40.76500525,-73.95818491,47958,Subscriber,1985,2,2021-02-01,02:58:03.772000,2021-02-01 02:58:03.772
2414,2021-02-01 03:14:57.4190,2021-02-01 03:55:11.8630,3342,Pioneer St & Richards St,40.677774799999995,-74.0094613,3709,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,42035,Subscriber,1971,1,2021-02-01,03:14:57.419000,2021-02-01 03:14:57.419
