station id,station name,station latitude,station longitude,Station Type
3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,start
4317,51 St & Hobart St,40.757764,-73.90765400000001,start
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,start
3301,Columbus Ave & W 95 St,40.7919557,-73.968087,start
3894,8 Ave & W 16 St,40.740983,-74.00170200000001,start
4265,49 St & 31 Ave,40.758057,-73.90983100000001,start
3531,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,start
349,Rivington St & Ridge St,40.71850211,-73.98329859,start
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,start
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,start
3612,30 Ave & 21 St,40.77037429999999,-73.9286078,start
3351,E 102 St & 1 Ave,40.7869946,-73.94164802,start
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,start
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,start
4120,E 39 St & Lexington Ave,40.74949854602521,-73.97729203113158,start
3335,Union St & 4 Ave,40.6772744,-73.98282002,start
265,Stanton St & Chrystie St,40.72229346,-73.99147535,start
4236,W 54 St & 11 Ave,40.768333,-73.992573,start
3613,Center Blvd & 48 Ave,40.745038,-73.957539,start
3726,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,start
411,E 6 St & Avenue D,40.72228087,-73.97668709,start
3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,start
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,start
480,W 53 St & 10 Ave,40.76669671,-73.99061728,start
3134,3 Ave & E 62 St,40.76312584,-73.96526895,start
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,start
490,8 Ave & W 33 St,40.751551,-73.993934,start
305,E 58 St & 3 Ave,40.76095756,-73.96724467,start
3898,E 63 St & 3 Ave,40.763954,-73.9646,start
3137,5 Ave & E 72 St,40.77282817,-73.96685276,start
3135,E 75 St & 3 Ave,40.77112927,-73.95772297,start
316,Fulton St & William St,40.70955958,-74.00653609,start
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,start
3506,Lexington Ave & E 120 St,40.8013066,-73.93981670000001,start
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,start
4070,W 180 St & Ft Washington Ave,40.849971999999994,-73.938423,start
3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,start
385,E 55 St & 2 Ave,40.75797322,-73.96603308,start
4111,E 27 St & Park Ave S,40.742751796489955,-73.98471571505071,start
